2025-07-13 06:47:19,975 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 13:32:18,541 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:20,544 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:22,547 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:24,549 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:24,550 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:24,550 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:26,552 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:28,555 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:30,558 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:30,559 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:30,559 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:32,561 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:34,564 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:36,567 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:36,567 arm_base.py, line 502, WARNING:timeout
2025-07-13 13:32:36,568 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:36,568 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:38,571 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:40,574 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:42,577 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:42,577 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:42,578 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:44,580 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:46,583 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:48,586 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:48,603 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:48,603 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:50,606 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:52,609 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:32:54,612 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:32:54,613 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:32:54,613 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:32:56,616 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:32:58,619 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:00,622 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:00,622 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:00,623 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:02,625 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:04,628 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:06,631 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:06,632 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:06,632 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:08,635 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:10,638 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:12,641 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:12,641 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:12,642 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:14,644 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:16,647 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:18,650 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:18,651 arm_base.py, line 502, WARNING:timeout
2025-07-13 13:33:18,651 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:18,652 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:20,654 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:22,657 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:24,660 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:24,661 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:24,661 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:26,664 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:28,667 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:30,670 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:31,202 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:31,203 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:33,205 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:35,208 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:37,211 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:37,212 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:37,212 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:39,215 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:41,218 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:43,220 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:43,221 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:43,221 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:45,224 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:47,227 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:48,241 serial_wrap.py, line 170, INFO:串口重连成功，开始初始化...
2025-07-13 13:33:48,342 serial_wrap.py, line 178, WARNING:下位机握手/初始化失败，可能需要人工干预
2025-07-13 13:33:48,342 arm_base.py, line 502, WARNING:timeout
2025-07-13 13:33:50,278 serial_wrap.py, line 78, ERROR:get_anwser error:(5, 'Input/output error')
2025-07-13 13:33:50,279 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:52,282 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:33:54,285 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:33:56,288 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:33:56,289 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:33:56,289 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:33:58,292 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:00,295 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:02,298 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:02,298 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:02,299 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:04,301 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:06,304 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:08,307 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:08,308 arm_base.py, line 502, WARNING:timeout
2025-07-13 13:34:08,308 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:08,309 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:10,311 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:12,314 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:14,317 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:14,318 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:14,318 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:16,321 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:18,324 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:20,327 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:21,336 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:21,336 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:23,339 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:25,342 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:27,345 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:28,357 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:28,357 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:30,360 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:32,363 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:34,366 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:34,366 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:34,367 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:36,369 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:38,372 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:40,375 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:40,375 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:40,376 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:42,379 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:34:44,382 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:34:46,385 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:34:46,393 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:34:46,394 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:34:47,406 serial_wrap.py, line 170, INFO:串口重连成功，开始初始化...
2025-07-13 13:34:47,507 serial_wrap.py, line 178, WARNING:下位机握手/初始化失败，可能需要人工干预
2025-07-13 13:34:50,418 arm_base.py, line 502, WARNING:timeout
2025-07-13 13:40:19,122 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 13:40:19,562 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 13:40:19,584 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 13:40:19,585 serial_wrap.py, line 297, INFO:load program
2025-07-13 13:40:21,398 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 13:40:21,446 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 13:43:20,333 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 13:43:20,770 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 13:43:20,790 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 13:43:20,790 serial_wrap.py, line 297, INFO:load program
2025-07-13 13:43:23,067 serial_wrap.py, line 312, INFO:downloading program
2025-07-13 13:43:30,710 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 13:43:30,759 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 13:44:03,768 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-13 13:44:03,769 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:44:05,777 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:44:07,780 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:44:09,783 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:44:09,794 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:44:09,794 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:44:11,797 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:44:13,800 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:44:15,803 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:44:15,814 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:44:15,814 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:44:17,817 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 13:44:19,820 serial_wrap.py, line 164, WARNING:尝试串口重连(3/3)...
2025-07-13 13:44:21,823 serial_wrap.py, line 185, CRITICAL:串口多次重连失败，请检查硬件连接！
2025-07-13 13:44:21,834 serial_wrap.py, line 78, ERROR:get_anwser error:Attempting to use a port that is not open
2025-07-13 13:44:21,834 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 13:44:22,847 serial_wrap.py, line 170, INFO:串口重连成功，开始初始化...
2025-07-13 13:44:22,948 serial_wrap.py, line 178, WARNING:下位机握手/初始化失败，可能需要人工干预
2025-07-13 13:44:27,308 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 13:44:27,745 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 13:44:27,766 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 13:44:27,766 serial_wrap.py, line 297, INFO:load program
2025-07-13 13:44:29,580 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 13:44:29,629 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:23:02,272 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:23:02,356 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:23:02,395 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:23:03,075 vehicle_base.py, line 305, INFO:MecanumChassis
2025-07-13 14:23:03,075 vehicle_base.py, line 194, INFO:mecanum init
2025-07-13 14:23:03,076 car_wrap.py, line 147, INFO:my car init ok 0.011413097381591797
2025-07-13 14:23:16,456 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:23:16,540 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:23:16,576 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:23:30,347 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:23:30,430 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:23:30,467 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:29:19,500 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-13 14:29:19,502 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 14:29:20,518 serial_wrap.py, line 170, INFO:串口重连成功，开始初始化...
2025-07-13 14:29:20,619 serial_wrap.py, line 178, WARNING:下位机握手/初始化失败，可能需要人工干预
2025-07-13 14:41:01,707 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:41:01,792 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:41:01,828 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:41:19,693 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:41:19,777 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:41:19,816 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:45:18,785 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:45:18,871 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:45:18,907 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:45:59,161 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:45:59,245 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:45:59,282 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:46:18,535 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:46:18,620 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:46:18,657 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:46:47,299 serial_wrap.py, line 78, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-07-13 14:46:47,299 serial_wrap.py, line 164, WARNING:尝试串口重连(1/3)...
2025-07-13 14:46:49,307 serial_wrap.py, line 164, WARNING:尝试串口重连(2/3)...
2025-07-13 14:46:50,321 serial_wrap.py, line 170, INFO:串口重连成功，开始初始化...
2025-07-13 14:46:50,422 serial_wrap.py, line 178, WARNING:下位机握手/初始化失败，可能需要人工干预
2025-07-13 14:47:39,669 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:47:40,107 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 14:47:40,127 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 14:47:40,128 serial_wrap.py, line 297, INFO:load program
2025-07-13 14:47:41,941 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:47:41,979 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:51:37,512 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:51:37,596 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:51:37,634 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:55:51,656 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:55:52,093 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 14:55:52,113 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 14:55:52,113 serial_wrap.py, line 297, INFO:load program
2025-07-13 14:55:53,927 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:55:53,975 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:56:33,580 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:56:33,664 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:56:33,701 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:58:01,212 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:58:01,651 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 14:58:01,671 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 14:58:01,672 serial_wrap.py, line 297, INFO:load program
2025-07-13 14:58:03,488 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:58:03,536 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:58:43,081 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 14:58:43,523 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 14:58:43,543 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 14:58:43,543 serial_wrap.py, line 297, INFO:load program
2025-07-13 14:58:45,358 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 14:58:45,406 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 14:58:57,115 arm_base.py, line 502, WARNING:timeout
2025-07-13 14:58:59,743 arm_base.py, line 502, WARNING:timeout
2025-07-13 14:59:04,677 arm_base.py, line 502, WARNING:timeout
2025-07-13 14:59:10,117 arm_base.py, line 502, WARNING:timeout
2025-07-13 14:59:13,749 arm_base.py, line 502, WARNING:timeout
2025-07-13 15:00:14,822 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 15:00:15,259 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 15:00:15,281 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 15:00:15,281 serial_wrap.py, line 297, INFO:load program
2025-07-13 15:00:17,095 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 15:00:17,143 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 15:03:05,140 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 15:03:05,580 serial_wrap.py, line 353, ERROR:get_anwser timeout 
2025-07-13 15:03:05,600 serial_wrap.py, line 296, INFO:is mc602
2025-07-13 15:03:05,600 serial_wrap.py, line 297, INFO:load program
2025-07-13 15:03:07,413 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 15:03:07,461 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 15:03:48,690 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 15:03:48,777 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 15:03:48,813 controller_wrap.py, line 31, INFO:dev_name:mc602
2025-07-13 15:04:10,195 serial_wrap.py, line 125, INFO:try:/dev/ttyUSB0 - USB Serial
2025-07-13 15:04:10,279 serial_wrap.py, line 63, INFO:port is /dev/ttyUSB0, controller is mc602, mode USB
2025-07-13 15:04:10,316 controller_wrap.py, line 31, INFO:dev_name:mc602
